Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
Nov '25,,1,First Person Blackjack,Evolution,Live Casino,"August, 2021",4,$99.84,$99.72,2.09,56.7,50.47,13.60,0.21%
,,2,Blackjack,Igt,Table Game,"March, 2021",22,$71.86,$55.67,4.23,65.5,43.93,17.40,1.39%
,,3,Cash Eruption,Igt,Slot,"August, 2021",33,$1.84,$1.74,56.54,38.7,43.47,47.59,2.15%
,,4,Live Vip Baccarat,Playtech,Live Casino,"March, 2024",4,$170.64,$43.00,0.59,36.5,34.13,9.20,0.16%
,,5,Huff N Even More Puff,Light & Wonder,Slot,"August, 2025",33,$2.24,$2.04,26.00,22.2,29.57,32.38,1.33%
,,6,Live Dealer Speed Baccarat,Evolution,Live Casino,"May, 2023",20,$103.86,$88.09,2.54,41.9,29.24,7.88,0.59%
,,7,Gold Blitz Fortunes,Games Global,Slot,"October, 2025",18,$1.18,$1.17,37.31,19.3,28.00,30.65,1.35%
,,8,Live Dealer Single Zero Roulette,Evolution,Live Casino,"July, 2021",2,$176.86,$176.86,0.34,29.7,27.39,7.38,0.05%
,,9,Blackjack Live,Evolution,Live Casino,"August, 2021",14,$104.42,$112.48,3.06,55.5,24.18,6.52,0.82%
,,10,American Roulette Live,Evolution,Live Casino,"June, 2023",5,$41.96,$39.42,1.07,20.5,23.51,6.33,0.15%
,,11,12 Fortune Dragons,Games Global,Slot,"October, 2025",21,$1.38,$1.34,25.00,15.6,21.79,23.86,0.96%
,,12,Premium Blackjack Pro,Playtech,Table Game,"January, 2024",2,$59.63,$59.63,4.18,46.6,21.34,8.45,0.05%
,,13,Live Dealer Lightning Roulette,Evolution,Live Casino,"March, 2021",22,$28.11,$27.60,1.94,18.9,21.29,5.74,0.90%
,,14,Live Dealer Crazy Time,Evolution,Live Casino,"December, 2023",32,$18.23,$15.35,3.28,20.4,20.66,5.57,0.93%
,,15,Kong 3 Even Bigger Bonus,White Hat Studios,Slot,"October, 2025",14,$1.00,$0.96,22.78,12.1,17.46,19.12,0.78%
,,16,Lion Link Wealth Of The Dragon,Light & Wonder,Slot,"August, 2025",19,$1.37,$1.35,22.29,13.6,17.36,19.01,0.50%
,,17,Blackjack Surrender,Igt,Table Game,"October, 2021",19,$88.46,$39.87,3.72,44.2,16.82,6.66,0.21%
,,18,Live Dealer Craps,Evolution,Live Casino,"November, 2021",20,$61.62,$13.42,4.30,32.8,16.79,4.52,0.46%
,,19,Whirl Win,Bragg Gaming Group,Slot,"October, 2025",7,$1.22,$1.30,20.40,12.1,16.77,18.36,0.34%
,,20,Live Dealer Roulette,Evolution,Live Casino,"March, 2021",32,$50.37,$36.49,1.59,14.6,16.34,4.40,0.67%
,,21,Hypernova Megaways,Reel Play,Slot,"March, 2021",33,$1.59,$1.47,23.96,15.8,15.23,16.67,0.66%
,,22,Capital Gains,Ags,Slot,"April, 2021",30,$2.27,$2.14,16.52,15.0,15.11,16.54,0.69%
,,23,Cleopatra,Igt,Slot,"March, 2021",33,$1.20,$1.11,24.64,12.3,14.98,16.40,0.78%
,,24,Megajackpots Cash Eruption,Igt,Slot,"September, 2025",14,$2.99,$2.64,6.85,7.2,14.66,16.05,0.34%
,,25,Mystery Of The Lamp Enchanted Palace,Igt,Slot,"November, 2025",30,$2.32,$2.20,9.77,9.8,14.47,15.85,0.60%
,,26,Cash Eruption High Stakes,Igt,Slot,"June, 2025",33,$65.47,$23.22,0.86,11.7,13.50,14.78,0.55%
,,27,Gold Blitz Ultimate,Games Global,Slot,"May, 2025",22,$1.89,$1.63,11.27,9.7,13.20,14.45,0.40%
,,28,88 Fortunes,Light & Wonder,Slot,"March, 2021",33,$3.43,$3.04,10.77,13.2,13.16,14.41,0.53%
,,29,Live Dealer Baccarat,Evolution,Live Casino,"June, 2021",25,$75.69,$65.50,1.36,31.5,13.05,3.52,0.63%
,,30,Chicks In Vegas,Games Global,Slot,"September, 2025",18,$1.31,$1.28,17.30,9.2,13.04,14.28,0.43%
,,31,Huff N More Puff,Light & Wonder,Slot,"January, 2025",33,$2.72,$2.36,10.58,8.6,12.77,13.98,0.53%
,,32,Mo Mummy Mighty Pyramid,Aristocrat,Slot,"February, 2025",18,$2.42,$2.34,11.58,8.6,12.48,13.66,0.33%
,,33,Wolf It Up Again,Inspired,Slot,"November, 2025",23,$1.52,$1.38,15.01,8.7,12.46,13.64,0.44%
,,34,Super Crystal 7s,Ainsworth,Slot,"March, 2021",5,$19.51,$1.67,0.05,9.2,12.44,13.62,0.16%
,,35,7s Fire Blitz Hot Stepper,White Hat Studios,Slot,"January, 2025",31,$1.72,$1.52,14.29,9.9,12.16,13.31,0.71%
,,36,Huff N Lots Of Puff,Light & Wonder,Slot,"November, 2025",26,$1.45,$1.33,8.63,8.7,11.65,12.76,0.44%
,,37,Craps,Internal,Table Game,"April, 2021",7,$7.88,$6.47,0.63,3.3,11.47,4.54,0.24%
,,38,Vip Blackjack,Playtech,Table Game,"January, 2024",2,$138.07,$138.07,0.79,12.3,11.31,4.48,0.03%
